rank,feature,mean_abs_shap,mean_shap,positive_shap_pct_nonzero,negative_shap_pct_nonzero,zero_shap_pct,direction_consistency_pct,direction_consistency_label,mean_feature_value,median_feature_value,overall_direction
40,loc_ic_t2f_mou_8,0.025206787511706352,-0.012740833684802055,42.0,57.99999999999999,0.0,57.99999999999999,Mixed,10.900443,0.91,Negative average contribution
41,arpu_min_6_8,0.025178855285048485,-0.012553294189274311,16.009999999999998,83.99,0.0,83.99,Strongly consistent,174.0469566,105.79849999999999,Negative average contribution
42,total_ic_mou_change_6_to_8,0.0234941765666008,-0.006456336937844753,22.63,77.37,0.0,77.37,Strongly consistent,-3.2451090000000007,0.0,Negative average contribution
43,std_ic_mou_pct_change_7_to_8,0.02322254702448845,-0.0084963608533144,25.89,74.11,0.0,74.11,Moderately consistent,1.9526307125846092,-0.2321986318923232,Negative average contribution
44,std_og_mou_8,0.022894684225320816,-0.006963942665606737,32.32,67.67999999999999,0.0,67.67999999999999,Moderately consistent,171.119783,10.41,Negative average contribution
45,arpu_8,0.02288670837879181,0.005256871692836285,46.98,53.02,0.0,53.02,Mixed,276.6624936,190.418,Positive average contribution
46,std_ic_t2f_mou_6,0.022816458716988564,0.004624641500413418,18.57,81.43,0.0,81.43,Strongly consistent,1.972258,0.0,Positive average contribution
47,total_rech_num_7,0.022233393043279648,-0.003022347344085574,22.830000000000002,77.17,0.0,77.17,Strongly consistent,7.6854,6.0,Negative average contribution
48,onnet_mou_8,0.021453438326716423,-0.003895045490935445,52.43,47.57,0.0,52.43,Mixed,128.595144,31.98,Negative average contribution
49,loc_ic_mou_change_7_to_8,0.02121962048113346,-0.015901489183306694,13.08,86.92,0.0,86.92,Strongly consistent,-2.3972450000000003,0.0,Negative average contribution
50,recharge_value_per_transaction_8,0.02096615545451641,-0.00010150564048672095,58.269999999999996,41.730000000000004,0.0,58.269999999999996,Mixed,53.731332780124724,36.42857142857143,Negative average contribution
51,loc_og_t2m_mou_8,0.02050875313580036,0.00961523037403822,69.6,30.4,0.0,69.6,Moderately consistent,87.726325,40.33,Positive average contribution
52,std_og_mou_change_7_to_8,0.019847383722662926,-0.00355994189158082,34.94,65.06,0.0,65.06,Moderately consistent,-1.8400490000000003,0.0,Negative average contribution
53,total_activity_pct_change_6_to_8,0.019616875797510147,0.000874077610205859,38.92,61.08,0.0,61.08,Moderately consistent,9.375661939350618,-0.0448224994108044,Positive average contribution
54,recharge_num_change_6_to_8,0.018496492877602577,-0.0035474486649036407,33.31,66.69,0.0,66.69,Moderately consistent,-0.2895,0.0,Negative average contribution
55,loc_ic_mou_pct_change_7_to_8,0.018386399373412132,-0.010132876224815845,21.68,78.32000000000001,0.0,78.32000000000001,Strongly consistent,0.8158097707871068,-0.0193620140538901,Negative average contribution
56,loc_ic_mou_min_6_8,0.018249984830617905,-0.007978012785315514,29.99,70.00999999999999,0.0,70.00999999999999,Moderately consistent,110.644974,54.66,Negative average contribution
57,total_og_mou_std_6_8,0.01805252395570278,-0.00215747207403183,46.27,53.73,0.0,53.73,Mixed,115.83667652829638,52.26308389438274,Negative average contribution
