model,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,no_skill_pr_auc,predicted_churn_rate,top_5_churn_capture,top_5_lift,top_10_churn_capture,top_10_lift,top_20_churn_capture,top_20_lift
Most Frequent,0.5,0.8981428571428571,0.0,0.0,0.0,0.5,0.10185714285714285,0.10185714285714285,0.0,0.038569424964936885,0.7713884992987377,0.091164095371669,0.91164095371669,0.19074333800841514,0.9537166900420757
Prior Probability,0.5,0.8981428571428571,0.0,0.0,0.0,0.5,0.10185714285714285,0.10185714285714285,0.0,0.038569424964936885,0.7713884992987377,0.091164095371669,0.91164095371669,0.19074333800841514,0.9537166900420757
