model,curve_type,x_value,y_value,threshold
Logistic Regression,ROC,0.0,0.0,
Logistic Regression,ROC,7.95291872117067e-05,0.0,0.999993863518929
Logistic Regression,ROC,0.0001590583744234134,0.0,0.9995267338233725
Logistic Regression,ROC,0.0001590583744234134,0.0091164095371669,0.9895775619812437
Logistic Regression,ROC,0.0003181167488468268,0.0091164095371669,0.9880440979808415
Logistic Regression,ROC,0.0003181167488468268,0.011220196353436185,0.9871524411717773
Logistic Regression,ROC,0.0003976459360585335,0.011220196353436185,0.986693927650757
Logistic Regression,ROC,0.0003976459360585335,0.014025245441795231,0.973707101573128
Logistic Regression,ROC,0.0004771751232702402,0.014025245441795231,0.9736571622926121
Logistic Regression,ROC,0.0004771751232702402,0.015427769985974754,0.9711171124585138
Logistic Regression,ROC,0.0005567043104819469,0.015427769985974754,0.9704630166003703
Logistic Regression,ROC,0.0005567043104819469,0.038569424964936885,0.94349603673257
Logistic Regression,ROC,0.0006362334976936536,0.038569424964936885,0.9434087407423465
Logistic Regression,ROC,0.0006362334976936536,0.03927068723702665,0.9432211899440468
Logistic Regression,ROC,0.0007157626849053603,0.03927068723702665,0.9428816626349564
Logistic Regression,ROC,0.0007157626849053603,0.06732117812061711,0.9265136300428133
Logistic Regression,ROC,0.000795291872117067,0.06732117812061711,0.9264166477821838
Logistic Regression,ROC,0.000795291872117067,0.0729312762973352,0.9251003888741314
Logistic Regression,ROC,0.0008748210593287737,0.0729312762973352,0.9247344164099797
Logistic Regression,ROC,0.0008748210593287737,0.08345021037868162,0.9203708647385934
Logistic Regression,ROC,0.0009543502465404804,0.08345021037868162,0.9193308659191507
Logistic Regression,ROC,0.0009543502465404804,0.1002805049088359,0.9108412194588064
Logistic Regression,ROC,0.001033879433752187,0.1002805049088359,0.9104840752784689
Logistic Regression,ROC,0.001033879433752187,0.10308555399719495,0.9095538615974861
Logistic Regression,ROC,0.0011134086209638938,0.10308555399719495,0.9090901924193922
Logistic Regression,ROC,0.0011134086209638938,0.10448807854137447,0.9080957891965535
Logistic Regression,ROC,0.0011929378081756005,0.10448807854137447,0.9078640463866156
Logistic Regression,ROC,0.0011929378081756005,0.105890603085554,0.9075347869064667
Logistic Regression,ROC,0.0013519961825990139,0.105890603085554,0.9071794607370857
Logistic Regression,ROC,0.0013519961825990139,0.11290322580645161,0.9045627283656176
Logistic Regression,ROC,0.0014315253698107206,0.11290322580645161,0.9036093071004716
Logistic Regression,ROC,0.0014315253698107206,0.11781206171107994,0.9021019548678486
Logistic Regression,ROC,0.0015110545570224273,0.11781206171107994,0.9018393823598305
Logistic Regression,ROC,0.0015110545570224273,0.11921458625525946,0.900931626045191
Logistic Regression,ROC,0.001590583744234134,0.11921458625525946,0.900900272164192
Logistic Regression,ROC,0.001590583744234134,0.12061711079943899,0.9006802622640783
Logistic Regression,ROC,0.0016701129314458407,0.12061711079943899,0.9005154413641282
Logistic Regression,ROC,0.0016701129314458407,0.12903225806451613,0.8971773755619542
Logistic Regression,ROC,0.0017496421186575474,0.12903225806451613,0.8970436102276362
Logistic Regression,ROC,0.0017496421186575474,0.13113604488078542,0.8962749660682618
Logistic Regression,ROC,0.001829171305869254,0.13113604488078542,0.8962476113862581
Logistic Regression,ROC,0.001829171305869254,0.1332398316970547,0.8954232716840533
Logistic Regression,ROC,0.0019087004930809608,0.1332398316970547,0.8948306443713895
Logistic Regression,ROC,0.0019087004930809608,0.15077138849929875,0.8877480151986834
Logistic Regression,ROC,0.002067758867504374,0.15077138849929875,0.8874378281252571
Logistic Regression,ROC,0.002067758867504374,0.15778401122019636,0.8843634490857312
Logistic Regression,ROC,0.002147288054716081,0.15778401122019636,0.8833953355959796
Logistic Regression,ROC,0.002147288054716081,0.1605890603085554,0.8819193899395599
Logistic Regression,ROC,0.0022268172419277876,0.1605890603085554,0.8818746321690561
Logistic Regression,ROC,0.0022268172419277876,0.16129032258064516,0.881729982403592
Logistic Regression,ROC,0.0023063464291394943,0.16129032258064516,0.8815665299848306
Logistic Regression,ROC,0.0023063464291394943,0.16199158485273493,0.8814655686773846
Logistic Regression,ROC,0.002385875616351201,0.16199158485273493,0.8814462805047196
Logistic Regression,ROC,0.002385875616351201,0.16269284712482468,0.8813449878040233
Logistic Regression,ROC,0.0025449339907746144,0.16269284712482468,0.8807777203029263
Logistic Regression,ROC,0.0025449339907746144,0.16479663394109398,0.8796933033613152
Logistic Regression,ROC,0.002624463177986321,0.16479663394109398,0.8794374401736877
Logistic Regression,ROC,0.002624463177986321,0.16760168302945302,0.879194474968209
Logistic Regression,ROC,0.0027039923651980277,0.16760168302945302,0.8791558476525932
Logistic Regression,ROC,0.0027039923651980277,0.1697054698457223,0.8778343336730826
Logistic Regression,ROC,0.0027835215524097344,0.1697054698457223,0.8777551288361283
Logistic Regression,ROC,0.0027835215524097344,0.17040673211781207,0.8776586146300949
Logistic Regression,ROC,0.002863050739621441,0.17040673211781207,0.8774953713122734
Logistic Regression,ROC,0.002863050739621441,0.18723702664796635,0.8706801422807245
Logistic Regression,ROC,0.0030221091140448545,0.18723702664796635,0.8695184960155775
