targeting_cohort,targeted_customers,targeting_population_pct,positive_exposure_customers,positive_exposure_share_pct,monthly_revenue_exposure_inr,monthly_exposure_capture_pct,annualized_revenue_exposure_inr,average_monthly_exposure_per_customer_inr,exposure_capture_efficiency,exposure_captured_per_1pct_population_targeted,historical_churned_customers,historical_churn_capture_pct,average_calibrated_churn_probability,high_very_high_risk_customers,high_very_high_risk_share_pct
Top 1% Exposure,700,1.0000142859183703,700,100.0,248554.80980116734,32.02166588677543,2982657.717614008,355.07829971595334,32.02120843440562,32.02120843440562,395,5.538418395961862,0.5558587981560048,681,97.28571428571429
Top 5% Exposure,3500,5.000071429591851,3500,100.0,495515.23578830226,63.837925063340464,5946182.829459627,141.57578165380065,12.767402618596483,12.767402618596483,1464,20.527201346045988,0.4044465984609838,3108,88.8
Top 10% Exposure,7000,10.000142859183702,7000,100.0,602398.1126942876,77.60779648944043,7228777.35233145,86.05687324204108,7.7606687806633445,7.7606687806633445,2213,31.029164329781267,0.3061056313646038,5080,72.57142857142857
Top 20% Exposure,14000,20.000285718367405,14000,100.0,684559.1146607287,88.19271398106613,8214709.375928745,48.89707961862348,4.409572704257606,4.409572704257606,2957,41.46102075154234,0.20343233344868195,6648,47.48571428571429
High + Very High Risk,12492,17.845969228131832,8750,70.04482869036183,551432.5632143607,71.04183303660012,6617190.758572329,44.142856485299454,3.9808335500552126,3.9808335500552126,6279,88.03982052720136,0.49986254561334054,12492,100.0
