model,candidate_id,fold,train_pr_auc,validation_pr_auc,validation_roc_auc,precision_at_0_50,recall_at_0_50,f1_at_0_50,top10_capture,top10_lift,fit_seconds
HistGradientBoosting,HGB_00_BASELINE,1,0.869511786328622,0.7702103127652881,0.9521660938412534,0.7556874381800198,0.6695880806310254,0.7100371747211895,0.7090271691498685,7.090271691498685,3.8298575000371784
HistGradientBoosting,HGB_00_BASELINE,2,0.8748885843924513,0.775353969325356,0.9550715633154399,0.7608695652173914,0.6441717791411042,0.6976744186046512,0.7020157756354075,7.020157756354076,3.6524744000053033
HistGradientBoosting,HGB_00_BASELINE,3,0.8869307295525269,0.7724181020441679,0.9545453080113919,0.7646464646464647,0.663453111305872,0.7104645706241202,0.7142857142857143,7.142857142857143,3.6870277000125498
HistGradientBoosting,HGB_00_BASELINE,4,0.8693122690689039,0.7781970843979281,0.9556533576360436,0.7746478873239436,0.6742556917688266,0.7209737827715356,0.7189141856392294,7.189141856392293,4.172375900088809
HistGradientBoosting,HGB_00_BASELINE,5,0.8743720445070712,0.7560738445444345,0.9473459718035045,0.7494824016563147,0.6345311130587205,0.6872330327479829,0.6950043821209465,6.949423281582572,4.349041900015436
HistGradientBoosting,HGB_01_SLOWER_MORE_TREES,1,0.8458164024352608,0.7753822980179896,0.9533152298023607,0.7656405163853028,0.6757230499561788,0.7178770949720671,0.7142857142857143,7.142857142857143,7.319811800029129
HistGradientBoosting,HGB_01_SLOWER_MORE_TREES,2,0.8477225176186836,0.7780385345569831,0.9560081496384304,0.7611168562564633,0.6450482033304119,0.698292220113852,0.7107800175284837,7.107800175284838,6.460888499976136
HistGradientBoosting,HGB_01_SLOWER_MORE_TREES,3,0.8630555301522678,0.7770254136423629,0.9563047781454885,0.7731854838709677,0.6722173531989483,0.7191748710736052,0.7186678352322524,7.186678352322524,7.520745599991642
HistGradientBoosting,HGB_01_SLOWER_MORE_TREES,4,0.8717610091815178,0.7826113092039536,0.9566673538659661,0.778118609406953,0.6663747810858144,0.7179245283018868,0.7206654991243433,7.2066549912434335,5.720844299998134
HistGradientBoosting,HGB_01_SLOWER_MORE_TREES,5,0.862788967674113,0.7560727726057792,0.947231212342646,0.7502579979360166,0.6371603856266433,0.6890995260663507,0.7028921998247152,7.028294415925879,5.0432436999399215
HistGradientBoosting,HGB_02_MODERATE_MORE_TREES,1,0.8717108297101153,0.7723065449061141,0.9523328575253508,0.7611940298507462,0.670464504820333,0.7129543336439889,0.7107800175284837,7.107800175284838,3.8969539999961853
HistGradientBoosting,HGB_02_MODERATE_MORE_TREES,2,0.8537883330411266,0.7802150598009915,0.9571862557797687,0.7679500520291364,0.6468010517090271,0.7021883920076119,0.7125328659070991,7.12532865907099,3.0560791000025347
HistGradientBoosting,HGB_02_MODERATE_MORE_TREES,3,0.8716574990514416,0.7744704314413969,0.9562381249488666,0.7681451612903226,0.6678352322524101,0.7144866385372715,0.7142857142857143,7.142857142857143,3.9995835999725387
HistGradientBoosting,HGB_02_MODERATE_MORE_TREES,4,0.8646283179979194,0.7828953194442255,0.9573297989001792,0.772635814889336,0.6725043782837128,0.7191011235955056,0.7206654991243433,7.2066549912434335,3.627463600016199
HistGradientBoosting,HGB_02_MODERATE_MORE_TREES,5,0.88218651788355,0.7588541309143375,0.9473220962588764,0.7464212678936605,0.6397896581945661,0.6890042472864559,0.6967572304995618,6.966950200325529,4.4820130000589415
HistGradientBoosting,HGB_03_MORE_TREES,1,0.869511786328622,0.7702103127652881,0.9521660938412534,0.7556874381800198,0.6695880806310254,0.7100371747211895,0.7090271691498685,7.090271691498685,3.5705575000029057
HistGradientBoosting,HGB_03_MORE_TREES,2,0.8748885843924513,0.775353969325356,0.9550715633154399,0.7608695652173914,0.6441717791411042,0.6976744186046512,0.7020157756354075,7.020157756354076,3.6073846999788657
HistGradientBoosting,HGB_03_MORE_TREES,3,0.8869307295525269,0.7724181020441679,0.9545453080113919,0.7646464646464647,0.663453111305872,0.7104645706241202,0.7142857142857143,7.142857142857143,3.682682799990289
HistGradientBoosting,HGB_03_MORE_TREES,4,0.8693122690689039,0.7781970843979281,0.9556533576360436,0.7746478873239436,0.6742556917688266,0.7209737827715356,0.7189141856392294,7.189141856392293,3.1175661999732256
HistGradientBoosting,HGB_03_MORE_TREES,5,0.8743720445070712,0.7560738445444345,0.9473459718035045,0.7494824016563147,0.6345311130587205,0.6872330327479829,0.6950043821209465,6.949423281582572,3.129242300055921
HistGradientBoosting,HGB_04_MORE_COMPLEX,1,0.9392068658000996,0.7672074770673342,0.9526849432345654,0.7631578947368421,0.6608238387379491,0.7083137623297323,0.708150744960561,7.08150744960561,5.9083559000864625
HistGradientBoosting,HGB_04_MORE_COMPLEX,2,0.9122998531581321,0.7741094221622087,0.9546584006247453,0.7595066803699897,0.6476774758983348,0.6991485335856197,0.7072743207712533,7.072743207712533,4.258785600075498
HistGradientBoosting,HGB_04_MORE_COMPLEX,3,0.9040771726404115,0.7715831525057881,0.9556021750375676,0.7655453618756372,0.6581945661700263,0.7078228086710651,0.7169149868536372,7.169149868536372,3.9090683999238536
HistGradientBoosting,HGB_04_MORE_COMPLEX,4,0.9150585173821196,0.7796155961418819,0.9575599874493262,0.7716049382716049,0.6567425569176882,0.7095553453169348,0.7189141856392294,7.189141856392293,3.8889501000521705
HistGradientBoosting,HGB_04_MORE_COMPLEX,5,0.904828388895307,0.7575553984827786,0.946190055609106,0.7440660474716202,0.6319018404907976,0.6834123222748815,0.694127957931639,6.940659822211093,3.9556249999441206
HistGradientBoosting,HGB_05_REGULARIZED,1,0.8632354555104275,0.7753678844799631,0.9551648777907104,0.758893280632411,0.6730937773882559,0.7134231305155597,0.7151621384750219,7.151621384750219,4.398278700071387
HistGradientBoosting,HGB_05_REGULARIZED,2,0.8665094433358785,0.7774590157126705,0.956121634329411,0.7607361963190185,0.6520595968448729,0.7022180273714016,0.7099035933391762,7.099035933391762,4.131269799894653
HistGradientBoosting,HGB_05_REGULARIZED,3,0.874212332695558,0.7752097922096447,0.9557764317607622,0.7704081632653061,0.6617002629272568,0.7119283356907119,0.7151621384750219,7.151621384750219,4.380937000038102
HistGradientBoosting,HGB_05_REGULARIZED,4,0.861774005687498,0.7814839116758874,0.9581599228850948,0.7702564102564102,0.6576182136602452,0.7094945677846008,0.7250437828371279,7.250437828371279,3.9679172999458387
HistGradientBoosting,HGB_05_REGULARIZED,5,0.8582280059635746,0.7582922936941876,0.9475216836127849,0.7492323439099283,0.6415425065731815,0.6912181303116147,0.6976336546888694,6.975713659697008,3.5780253000557423
HistGradientBoosting,HGB_06_LARGER_LEAF,1,0.8588238429243887,0.7753245819741814,0.9533875027783056,0.7602397602397603,0.6669588080631026,0.7105508870214753,0.7099035933391762,7.099035933391762,3.5663649000925943
HistGradientBoosting,HGB_06_LARGER_LEAF,2,0.8674336600431091,0.7790521512209528,0.9564135143407619,0.7704402515723271,0.6441717791411042,0.7016706443914081,0.7116564417177914,7.116564417177915,3.665987899992615
HistGradientBoosting,HGB_06_LARGER_LEAF,3,0.8770802507848585,0.7754565339559769,0.9562338556591483,0.7666666666666667,0.6652059596844873,0.7123416236508682,0.7169149868536372,7.169149868536372,4.042154900031164
HistGradientBoosting,HGB_06_LARGER_LEAF,4,0.8651042488233507,0.7825388082030643,0.9559955933344918,0.7704081632653061,0.6611208406304728,0.7115928369462771,0.7259194395796847,7.259194395796848,3.8368472999427468
HistGradientBoosting,HGB_06_LARGER_LEAF,5,0.8586861787578814,0.7574314866768085,0.9474267478249293,0.7459349593495935,0.6432953549517967,0.6908235294117647,0.6976336546888694,6.975713659697008,3.341234299936332
HistGradientBoosting,HGB_07_SHALLOWER,1,0.8249757716131657,0.7716258963865229,0.952397071127848,0.7665330661322646,0.670464504820333,0.7152875175315568,0.7090271691498685,7.090271691498685,3.1481290999799967
HistGradientBoosting,HGB_07_SHALLOWER,2,0.8156076581951783,0.7787479932771996,0.9566016244734508,0.7701863354037267,0.6520595968448729,0.7062173706691979,0.7090271691498685,7.090271691498685,2.7062435999978334
HistGradientBoosting,HGB_07_SHALLOWER,3,0.824149075115126,0.7712622813945605,0.9557684595156761,0.7663265306122449,0.6581945661700263,0.7081565299387081,0.7177914110429447,7.177914110429448,3.0106677999719977
HistGradientBoosting,HGB_07_SHALLOWER,4,0.8327085602130176,0.7795289486379304,0.957032312412874,0.7721649484536083,0.6558669001751314,0.709280303030303,0.7267950963222417,7.267950963222417,3.4861464999848977
HistGradientBoosting,HGB_07_SHALLOWER,5,0.8317761619523772,0.7568800353129149,0.9481419685194845,0.754149377593361,0.6371603856266433,0.6907363420427554,0.6932515337423313,6.931896362839614,3.192528899991885
HistGradientBoosting,HGB_08_SLOWER_COMPLEX,1,0.9040425715651963,0.7705465449712604,0.953113701901986,0.7582748244734202,0.6625766871165644,0.7072029934518241,0.7090271691498685,7.090271691498685,8.5457563000964
HistGradientBoosting,HGB_08_SLOWER_COMPLEX,2,0.8911648948256906,0.7803838589403738,0.9569114529272909,0.7648283038501561,0.6441717791411042,0.6993339676498572,0.7072743207712533,7.072743207712533,5.950016199960373
HistGradientBoosting,HGB_08_SLOWER_COMPLEX,3,0.9192194339158536,0.7751900513991057,0.9568986450581358,0.7755102040816326,0.6660823838737949,0.7166430928807166,0.7177914110429447,7.177914110429448,8.276924100006
HistGradientBoosting,HGB_08_SLOWER_COMPLEX,4,0.887501390883606,0.7830590813508757,0.9578815026959223,0.7772020725388601,0.6567425569176882,0.7119126720455624,0.7197898423817863,7.197898423817863,6.5418443999951705
HistGradientBoosting,HGB_08_SLOWER_COMPLEX,5,0.900751113942398,0.759158021190082,0.9479143666122991,0.7536382536382537,0.635407537248028,0.6894912030432715,0.7020157756354075,7.019530956554401,6.193390000029467
HistGradientBoosting,HGB_09_STRONG_REGULARIZATION,1,0.8659206998326541,0.7727109098987589,0.9540021498051942,0.765702891326022,0.6730937773882559,0.7164179104477612,0.7099035933391762,7.099035933391762,5.049810299999081
HistGradientBoosting,HGB_09_STRONG_REGULARIZATION,2,0.8557309831737904,0.7819046934751192,0.9575742383739618,0.7614107883817427,0.6432953549517967,0.6973871733966746,0.7099035933391762,7.099035933391762,5.165967000066303
HistGradientBoosting,HGB_09_STRONG_REGULARIZATION,3,0.856868409228784,0.7761332692289495,0.9573697481092927,0.7643504531722054,0.6652059596844873,0.711340206185567,0.7169149868536372,7.169149868536372,7.798470700043254
HistGradientBoosting,HGB_09_STRONG_REGULARIZATION,4,0.8514458396023925,0.7850219877851288,0.9588558862973038,0.7715163934426229,0.659369527145359,0.7110481586402266,0.7250437828371279,7.250437828371279,6.225529799936339
