feature,mutual_information,mi_rank
std_ic_mou_min_6_8,0.015119825001340681,132
std_ic_mou_max_6_8,0.01508009119948106,133
loc_og_t2t_mou_6,0.014438961777976544,134
std_ic_t2t_mou_8,0.014100371432573588,135
loc_og_t2f_mou_7,0.01393225686515609,136
total_rech_num_7,0.01381631420671292,137
total_voice_mou_6,0.013681098214198384,138
recharge_count_trend_score,0.013626127802762289,139
arpu_3g_8,0.0135893455072007,140
loc_og_mou_6,0.013534461236601958,141
av_rech_amt_data_8,0.013481085147500682,142
roam_og_mou_8,0.013469898478134956,143
roam_ic_mou_min_6_8,0.01345653377239886,144
voice_rech_recency_7,0.013451955792765036,145
std_ic_t2f_mou_8,0.013443267217679411,146
arpu_2g_8,0.013355230491475023,147
last_day_rch_amt_7,0.013325279920591848,148
vol_2g_mb_8,0.013087417540422974,149
total_og_mou_6,0.01276723810111191,150
aon,0.012745951441771375,151
loc_og_t2m_mou_6,0.012614570697536243,152
std_og_mou_min_6_8,0.01257904811798638,153
std_og_t2m_mou_6,0.012549709356521221,154
roam_ic_mou_std_6_8,0.012232240873583322,155
voice_inactive_6,0.012032068603789359,156
ic_others_8,0.01183631626165349,157
fb_user_8,0.011802851034845574,158
roam_ic_mou_8,0.01161615468999111,159
std_og_t2t_mou_8,0.01120729949465904,160
loc_og_t2f_mou_6,0.010935363428142386,161
vol_2g_mb_pct_change_6_to_8,0.010810016674591472,162
total_activity_6,0.010701915188448652,163
total_rech_data_8,0.0106260621343095,164
onnet_mou_6,0.010249985229731973,165
roam_og_mou_std_6_8,0.010187452132284225,166
no_recharge_count_7,0.010153908306141934,167
max_rech_data_7,0.010137686782893063,168
roam_og_mou_7,0.00983289025825651,169
voice_rech_recency_8_high_flag,0.009634312676468637,170
total_rech_data_7,0.009269592280349848,171
fb_user_6,0.009121802630388975,172
av_rech_amt_data_7,0.009038302221008987,173
recharge_count_std_6_8,0.008998718199159095,174
vol_3g_mb_pct_change_6_to_8,0.008863426667641061,175
spl_ic_mou_8,0.008760187351575244,176
roam_ic_mou_change_7_to_8,0.008657357035746882,177
max_rech_data_max_6_8,0.008512196514991244,178
count_rech_2g_8,0.008485892046975696,179
roam_ic_mou_change_6_to_8,0.008368514582410613,180
roam_ic_mou_pct_change_7_to_8,0.008297017205858737,181
isd_ic_mou_change_6_to_8,0.008223106102319688,182
roam_og_mou_change_7_to_8,0.008205361903951491,183
vol_3g_mb_8,0.008185101276488638,184
voice_rech_recency_7_high_flag,0.008055585707902324,185
av_rech_amt_data_max_6_8,0.007976341941659193,186
offnet_mou_6,0.00793816236258138,187
std_ic_mou_6,0.00790376496041234,188
fb_user_7,0.007867637656628457,189
std_ic_t2m_mou_6,0.007707039546585692,190
roam_og_mou_change_6_to_8,0.007681365213168867,191
data_rech_recency_6,0.007592789362498742,192
roam_og_mou_pct_change_7_to_8,0.0074956340482130734,193
roam_ic_mou_7,0.007466251656218503,194
max_rech_data_6,0.007330240137504385,195
data_rech_recency_7,0.007060036850363494,196
vol_2g_mb_min_6_8,0.006958790739316045,197
total_rech_amt_6,0.006901205186678361,198
max_rech_amt_6,0.006787542794765233,199
isd_ic_mou_change_7_to_8,0.006572837238858487,200
max_rech_data_min_6_8,0.006558296148650777,201
arpu_6,0.0065386940619935885,202
isd_ic_mou_std_6_8,0.006137881366365727,203
isd_ic_mou_8,0.006102286660146339,204
vol_3g_mb_change_6_to_8,0.006073313994559015,205
total_rech_data_min_6_8,0.006029150906546876,206
vol_2g_mb_change_6_to_8,0.005951683954210862,207
av_rech_amt_data_min_6_8,0.0057878185247783875,208
aug_vbc_3g,0.0057166065615992245,209
