targeting_cohort,intervention_cost_per_customer,customer_count,annualized_revenue_exposure,break_even_success_rate,break_even_feasible,minimum_tested_success_rate,maximum_tested_success_rate,economically_viable_scenarios,tested_scenarios,best_net_value,worst_net_value,best_roi,worst_roi,economic_viability_rate
High + Very High,100.0,12492,6617190.758572329,0.18878101683583884,True,0.1,0.8,8,9,4044552.6068578633,-587480.9241427671,3.2377142225887474,-0.4702857221764066,0.8888888888888888
High + Very High,250.0,12492,6617190.758572329,0.4719525420895971,True,0.1,0.8,4,9,2170752.6068578633,-2461280.924142767,0.6950856890354989,-0.7881142888705627,0.4444444444444444
High + Very High,500.0,12492,6617190.758572329,0.9439050841791942,True,0.1,0.8,0,9,-952247.3931421367,-5584280.924142767,-0.15245715548225053,-0.8940571444352813,0.0
Top 1%,100.0,700,2982657.717614008,0.023469002020116758,True,0.1,0.8,9,9,2316126.174091207,228265.77176140086,33.087516772731526,3.2609395965914407,1.0
Top 1%,250.0,700,2982657.717614008,0.0586725050502919,True,0.1,0.8,9,9,2211126.174091207,123265.77176140086,12.635006709092611,0.7043758386365764,1.0
Top 1%,500.0,700,2982657.717614008,0.1173450101005838,True,0.1,0.8,8,9,2036126.1740912069,-51734.22823859914,5.8175033545463055,-0.14781208068171184,0.8888888888888888
Top 10%,100.0,7000,7228777.35233145,0.09683518607392626,True,0.1,0.8,9,9,5083021.881865161,22877.735233145067,7.2614598312359435,0.032682478904492954,1.0
Top 10%,250.0,7000,7228777.35233145,0.24208796518481565,True,0.1,0.8,7,9,4033021.8818651605,-1027122.2647668549,2.3045839324943773,-0.5869270084382028,0.7777777777777778
Top 10%,500.0,7000,7228777.35233145,0.4841759303696313,True,0.1,0.8,4,9,2283021.8818651605,-2777122.264766855,0.6522919662471888,-0.7934635042191015,0.4444444444444444
Top 20%,100.0,14000,8214709.375928745,0.1704259926836082,True,0.1,0.8,8,9,5171767.500742996,-578529.0624071255,3.6941196433878543,-0.4132350445765182,0.8888888888888888
Top 20%,250.0,14000,8214709.375928745,0.4260649817090205,True,0.1,0.8,4,9,3071767.500742996,-2678529.0624071257,0.8776478573551417,-0.7652940178306074,0.4444444444444444
Top 20%,500.0,14000,8214709.375928745,0.852129963418041,True,0.1,0.8,0,9,-428232.4992570039,-6178529.062407126,-0.061176071322429124,-0.8826470089153037,0.0
Top 5%,100.0,3500,5946182.829459627,0.058861291359217596,True,0.1,0.8,9,9,4406946.263567702,244618.28294596274,12.591275038764863,0.6989093798456079,1.0
Top 5%,250.0,3500,5946182.829459627,0.14715322839804398,True,0.1,0.8,8,9,3881946.263567702,-280381.71705403726,4.436510015505945,-0.32043624806175686,0.8888888888888888
Top 5%,500.0,3500,5946182.829459627,0.29430645679608797,True,0.1,0.8,7,9,3006946.263567702,-1155381.7170540374,1.7182550077529726,-0.6602181240308785,0.7777777777777778
