method,fold,brier_score,log_loss,ece,pr_auc,roc_auc,calibration_slope,calibration_intercept,mean_predicted_probability,actual_churn_rate
uncalibrated,1,0.04197929798611413,0.14603421897948232,0.006686836369907337,0.7755134615451513,0.9546913351454289,0.959394271623422,-0.007242123059020791,0.10036775741668992,0.101875
uncalibrated,2,0.041690355118827675,0.14354803996265153,0.0071027272473462005,0.7801298445772392,0.9573697481092929,0.9911300324098559,0.10319606288978449,0.097386360555677,0.101875
uncalibrated,3,0.04127668118914016,0.1431818036643772,0.007673642745165645,0.7800063043289719,0.9572629287379745,0.9776151340925102,0.06353932566752038,0.09841145965331505,0.101875
uncalibrated,4,0.0405924571752657,0.14063992545899193,0.006777797899721916,0.7865865273576819,0.9588784350243196,0.9919359201861213,0.12239353031905674,0.09687873380034424,0.10196428571428572
uncalibrated,5,0.0434455217684319,0.15145631220004557,0.00927737670745672,0.7623266756880425,0.9503963776093399,0.9183060385952814,0.0008153876011158818,0.09820292453342633,0.10188409679435664
sigmoid,1,0.0420088060729476,0.14596845257826013,0.005187466461677078,0.7755134615451513,0.9546913351454289,0.990557078077493,-0.07552628617236977,0.10461472251804639,0.101875
sigmoid,2,0.041590842326208716,0.14337584570331072,0.0051930419568369315,0.7801298445772392,0.9573697481092929,1.0311362026824253,0.05741014341730249,0.10090663028109288,0.101875
sigmoid,3,0.041207001336186044,0.14300438596699888,0.006829085825223993,0.7800063043289719,0.9572629287379745,1.0136415229025757,0.008811284497774656,0.10212126468271723,0.101875
sigmoid,4,0.040498023859654696,0.1404250652358471,0.003897204064882974,0.7865865273576819,0.9588784350243196,1.0321758870336089,0.08132808212510234,0.10009899286471458,0.10196428571428572
sigmoid,5,0.043395912991224195,0.15102372601182948,0.008190089879542947,0.7623266756880425,0.9503963776093399,0.9362124998091927,-0.06700428655867183,0.10173961466630195,0.10188409679435664
isotonic,1,0.041998744389488606,0.1461002535605256,0.005255520278184226,0.7656500792833886,0.954567133665972,0.9794361662051903,-0.08122417538957295,0.10449247895910206,0.101875
isotonic,2,0.04150731254513238,0.1439873658173439,0.005490070622026547,0.7701941740784424,0.9570603988614413,1.0205395665169754,0.04299375273332351,0.1009597266945249,0.101875
isotonic,3,0.0414783937442973,0.1433933818081397,0.008880907612520758,0.7706103601751263,0.956906007404691,0.9990347202771805,-0.010813485959083697,0.10229061354939302,0.101875
isotonic,4,0.04052323671421809,0.14016328849734414,0.004052344088507421,0.7762081477888375,0.9588277221537153,1.0251513152192402,0.07323745855469331,0.1000218575545752,0.10196428571428572
isotonic,5,0.0433494201416725,0.15201079560534364,0.008024668352414999,0.7530199185188435,0.950476500103083,0.9099959660877902,-0.08780362784907945,0.10168300338513213,0.10188409679435664
