model,candidate_id,mean_pr_auc,std_pr_auc,mean_roc_auc,std_roc_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_top10_capture,std_top10_capture,mean_top10_lift,std_top10_lift,mean_train_pr_auc,generalization_gap,total_fit_seconds,parameters,baseline_cv_pr_auc,pr_auc_improvement,pr_auc_improvement_pct,model_rank
HistGradientBoosting,HGB_09_STRONG_REGULARIZATION,0.774833556923147,0.01037018409186235,0.9553327834398196,0.00403821083851078,0.7632058613620796,0.006763851924119597,0.6580789886893698,0.011950505296316949,0.7067210426752224,0.00877316392083627,0.7122304918873203,0.009512122273244859,7.122180028426227,0.09533219440383993,0.8574311646873959,0.08259760776424885,32.179303999990225,"{""l2_regularization"": 5.0, ""learning_rate"": 0.08, ""max_iter"": 150, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 30}",0.770450662615435,0.004382894307711993,0.568874104518706,1
HistGradientBoosting,HGB_06_LARGER_LEAF,0.7739607124061968,0.009705918326271016,0.9538914427875275,0.0038184233983869706,0.7627379602187307,0.010273435191898904,0.6561505484941927,0.011535485109881203,0.7053959042843586,0.009212091370205514,0.7124056232358318,0.010343960480833154,7.123931654919981,0.10366212322065366,0.8654256362667176,0.09146492386052085,18.784490799997002,"{""l2_regularization"": 0.0, ""learning_rate"": 0.08, ""max_iter"": 150, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",0.770450662615435,0.003510049790761749,0.4555839797510519,2
HistGradientBoosting,HGB_01_SLOWER_MORE_TREES,0.7738260656054138,0.010280594575071722,0.9539053447589783,0.003959167918174007,0.7656638927711408,0.010836419869397667,0.6593047546395994,0.017174859757949665,0.7084736481055522,0.013885947961958465,0.7134582531991018,0.007045978655492998,7.134457015526763,0.07069523063684857,0.8582288854123685,0.08440281980695474,32.67505710001569,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}",0.770450662615435,0.0033754029899787374,0.4381076107482752,3
HistGradientBoosting,HGB_02_MODERATE_MORE_TREES,0.7737482973014131,0.009353119150294556,0.9540818266826083,0.004289209550518649,0.7632692651906402,0.010266182300342418,0.6594789650520099,0.015071238889365384,0.7075469470141668,0.012077292432736225,0.7110042654690404,0.008795911748341241,7.109918233756386,0.08821110749929434,0.8687942995368306,0.09504600223541748,19.431794599979185,"{""l2_regularization"": 0.0, ""learning_rate"": 0.08, ""max_iter"": 150, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}",0.770450662615435,0.0032976346859781014,0.4280137387102349,4
HistGradientBoosting,HGB_08_SLOWER_COMPLEX,0.7736675115703394,0.00943258681480294,0.9545439338391268,0.004131764224899723,0.7658907317164645,0.010365021646714332,0.652996188859436,0.01288701471269663,0.7049167858142462,0.0107330320671935,0.7111797037962522,0.00744500101563164,7.111671678002585,0.07464316666347044,0.9005358810265489,0.1268683694562095,35.85394390008878,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 20}",0.770450662615435,0.003216848954904372,0.41752822224646974,5
HistGradientBoosting,HGB_05_REGULARIZED,0.7735625795544706,0.008903423259803625,0.9545489100757527,0.004085982518383782,0.7619052788766147,0.008847070226485749,0.6572028714787624,0.0116685499584208,0.7056564383347779,0.009147087652263864,0.7125810615630435,0.009990459773685813,7.1256860381920974,0.10013770013390746,0.8647918486385875,0.09122926908411688,20.843171099899337,"{""l2_regularization"": 1.0, ""learning_rate"": 0.08, ""max_iter"": 150, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}",0.770450662615435,0.003111916939035564,0.40390865892328465,6
HistGradientBoosting,HGB_07_SHALLOWER,0.7716090310018257,0.009093317759035833,0.9539882872098667,0.00374085703339952,0.765872051639041,0.007004965610187137,0.6547491907274015,0.012007195379386795,0.7059356126425043,0.009147059183566786,0.711178475881451,0.0124322286940827,7.111660963897771,0.1245455308866687,0.825843445417773,0.05423441441594734,15.896022800006904,"{""l2_regularization"": 0.0, ""learning_rate"": 0.08, ""max_iter"": 150, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",0.770450662615435,0.001158368386390607,0.1503494568306703,7
HistGradientBoosting,HGB_00_BASELINE,0.770450662615435,0.00858299118790597,0.9529564589215267,0.0034049087126341343,0.7610667514048268,0.00949255829590781,0.6571999551811099,0.017081243648606706,0.7052765958938959,0.013032105921353657,0.7078494453662332,0.009542908630588594,7.078370345736954,0.09563807756762031,0.8750030827699151,0.10455242015448007,20.14709220000077,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}",0.770450662615435,0.0,0.0,8
HistGradientBoosting,HGB_03_MORE_TREES,0.770450662615435,0.00858299118790597,0.9529564589215267,0.0034049087126341343,0.7610667514048268,0.00949255829590781,0.6571999551811099,0.017081243648606706,0.7052765958938959,0.013032105921353657,0.7078494453662332,0.009542908630588594,7.078370345736954,0.09563807756762031,0.8750030827699151,0.10455242015448007,17.47673929994926,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}",0.770450662615435,0.0,0.0,9
HistGradientBoosting,HGB_04_MORE_COMPLEX,0.7700142092719984,0.008284302826165407,0.9533391123910621,0.004365051843906449,0.7607761845451387,0.010326178201323552,0.6510680556429592,0.011800447608771015,0.7016505544356467,0.010998568103931539,0.709076439231264,0.009820714296928861,7.090640440891581,0.09844308958712303,0.915094159575214,0.14507995030321563,22.24454969994258,"{""l2_regularization"": 0.0, ""learning_rate"": 0.08, ""max_iter"": 150, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 20}",0.770450662615435,-0.0004364533434366713,-0.056649097030438134,10
XGBoost,XGB_02_SLOWER_MORE_TREES,0.7769125626994173,0.00905832926247459,0.9557197649252712,0.003334558298429414,0.7660922191440125,0.01358744985087041,0.6559760311030819,0.013547106802395495,0.706742072662855,0.012712028989938041,0.7120549000707587,0.010825968518953653,7.12042411026061,0.10844257221940842,0.9139187809412066,0.13700621824178927,40.13763030001428,"{""colsample_bytree"": 0.9, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",0.7720118460696487,0.004900716629768653,0.6347981128422381,1
XGBoost,XGB_08_STRONG_REGULARIZATION,0.7767258791246084,0.009783527338421156,0.9559397247625533,0.0036856855621809313,0.7642573001251948,0.006461148214599184,0.6540478978866051,0.014014681201122738,0.704828379640969,0.01008905930319135,0.7173137521853047,0.00887300748145269,7.173012005388792,0.08898515890326664,0.856617286201718,0.07989140707710951,39.20647460001055,"{""colsample_bytree"": 0.9, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.9}",0.7720118460696487,0.004714033054959765,0.6106166736895483,2
XGBoost,XGB_09_BALANCED,0.7765421805373065,0.00801815398778534,0.9560626411389427,0.0032914598286054716,0.7666390881467946,0.013260363093326061,0.6550989929563737,0.012464785706502982,0.7064718501797705,0.01212743750004989,0.7132829683612403,0.007832157155179495,7.132704167148148,0.07852994750696513,0.8885009498488994,0.11195876931159288,46.26786639995407,"{""colsample_bytree"": 0.9, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.9}",0.7720118460696487,0.004530334467657826,0.5868218850166598,3
XGBoost,XGB_07_REGULARIZED,0.7750624373744059,0.009186052111511701,0.955272204821077,0.003490700045548429,0.7643249808921443,0.00879109746774865,0.655801360222621,0.012243907293148415,0.7058733246634273,0.009211477983939427,0.7136329240795627,0.008353321417837878,7.1362038808356925,0.0837513258292463,0.9100704760483147,0.13500803867390876,35.98895160004031,"{""colsample_bytree"": 0.9, ""gamma"": 0.1, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 150, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 0.9}",0.7720118460696487,0.0030505913047572664,0.3951482506762015,4
XGBoost,XGB_03_SHALLOWER,0.7742756248926106,0.00922549087668735,0.954699751348484,0.0034949581636712274,0.7651420864647703,0.009916914332751174,0.6466876230792726,0.008991795911897693,0.7009147252851898,0.00784380638715609,0.712055360538809,0.008881376464446162,7.120428714941115,0.08903661190907586,0.8318526654585515,0.05757704056594093,20.457757299998775,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.08, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.7720118460696487,0.002263778822961915,0.29323109930073316,5
XGBoost,XGB_01_MORE_TREES,0.7735359358041324,0.009458360202310697,0.9544718251682847,0.003394585363421281,0.7622791633783688,0.00950730007634967,0.6540465164824539,0.013973434654070109,0.7039735351365567,0.01044295785323168,0.7118805361689979,0.008990044131116943,7.118680784251642,0.09014731247026146,0.9227153540845151,0.14917941828038273,35.739025600021705,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.7720118460696487,0.0015240897344837023,0.19741792075379672,6
XGBoost,XGB_05_MIN_CHILD,0.7731541982735359,0.00904854498109965,0.9548037062252075,0.0035267540880665003,0.7608855410847531,0.009714192416378746,0.6552756591983865,0.012039223978002323,0.7041185183551458,0.010268276708462323,0.7090764392312638,0.007388093407876669,7.090639658369983,0.07410411464819366,0.9133458953124153,0.14019169703887935,43.133474199916236,"{""colsample_bytree"": 0.9, ""gamma"": 0.0, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 3, ""n_estimators"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}",0.7720118460696487,0.0011423522038872536,0.14797081284478036,7
XGBoost,XGB_00_BASELINE,0.7720118460696487,0.00783579654460642,0.9545029580304402,0.0031788076309981574,0.7601934534033414,0.010471745666225862,0.6524704878352015,0.01140844181907919,0.7021683015635325,0.008594207150337693,0.7115304269613252,0.007881400334550863,7.1151793791662765,0.07905467483674376,0.9076245097874598,0.1356126637178111,28.22011780005414,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.7720118460696487,0.0,0.0,8
XGBoost,XGB_06_SUBSAMPLED,0.771737723599476,0.007879074134015108,0.9544395209845222,0.0028632501451248977,0.7616711328919162,0.01136761888120616,0.6512419590766695,0.00902494886357762,0.7021264452281084,0.00942460538270546,0.7122307988660206,0.009297158862877882,7.12218309821323,0.09318743223397682,0.928925628604231,0.157187905004755,36.37746479990892,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.08, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.7720118460696487,-0.00027412247017266633,-0.03550754714040175,9
