feature,coefficient,absolute_coefficient,direction
loc_og_mou_7,-0.08102731530050622,0.08102731530050622,Higher feature value associated with lower churn probability
onnet_mou_8,-0.080581707083775,0.080581707083775,Higher feature value associated with lower churn probability
total_voice_mou_8,-0.08034117801478351,0.08034117801478351,Higher feature value associated with lower churn probability
recharge_amt_change_7_to_8,-0.07831953099344255,0.07831953099344255,Higher feature value associated with lower churn probability
arpu_change_7_to_8,0.07802120645839512,0.07802120645839512,Higher feature value associated with higher churn probability
total_ic_mou_change_7_to_8,-0.07796289209780345,0.07796289209780345,Higher feature value associated with lower churn probability
voice_rech_recency_7,-0.07794332070776536,0.07794332070776536,Higher feature value associated with lower churn probability
total_ic_mou_pct_change_7_to_8,-0.07755181937420774,0.07755181937420774,Higher feature value associated with lower churn probability
roam_og_mou_8,-0.07625917682325986,0.07625917682325986,Higher feature value associated with lower churn probability
no_recharge_amt_8,0.07541216339664457,0.07541216339664457,Higher feature value associated with higher churn probability
loc_og_t2f_mou_6,-0.07498008292154552,0.07498008292154552,Higher feature value associated with lower churn probability
std_ic_mou_min_6_8,0.07091802439890656,0.07091802439890656,Higher feature value associated with higher churn probability
loc_og_mou_6,-0.06731969277028695,0.06731969277028695,Higher feature value associated with lower churn probability
recharge_amount_std_6_8,-0.06561885717732815,0.06561885717732815,Higher feature value associated with lower churn probability
std_ic_t2f_mou_7,0.06559353239958089,0.06559353239958089,Higher feature value associated with higher churn probability
std_og_mou_change_6_to_8,0.06551143406942911,0.06551143406942911,Higher feature value associated with higher churn probability
loc_ic_mou_change_7_to_8,-0.06357672728692466,0.06357672728692466,Higher feature value associated with lower churn probability
std_og_t2m_mou_6,0.06283657835819631,0.06283657835819631,Higher feature value associated with higher churn probability
loc_og_mou_pct_change_7_to_8,-0.05970071581222936,0.05970071581222936,Higher feature value associated with lower churn probability
loc_og_t2t_mou_6,0.058111745019281486,0.058111745019281486,Higher feature value associated with higher churn probability
roam_og_mou_min_6_8,0.05787382083097508,0.05787382083097508,Higher feature value associated with higher churn probability
total_voice_mou_6,0.057754170366764,0.057754170366764,Higher feature value associated with higher churn probability
total_ic_mou_7,-0.054307807979174214,0.054307807979174214,Higher feature value associated with lower churn probability
arpu_recent_vs_baseline,0.05246798399035616,0.05246798399035616,Higher feature value associated with higher churn probability
vol_3g_mb_8,-0.05231589416671565,0.05231589416671565,Higher feature value associated with lower churn probability
roam_og_mou_7,-0.052299601007379105,0.052299601007379105,Higher feature value associated with lower churn probability
loc_og_t2c_mou_8,0.051056904872714144,0.051056904872714144,Higher feature value associated with higher churn probability
spl_og_mou_7,0.04952810181651056,0.04952810181651056,Higher feature value associated with higher churn probability
std_og_mou_6,-0.04903281340002276,0.04903281340002276,Higher feature value associated with lower churn probability
total_og_mou_min_6_8,0.04635486978697163,0.04635486978697163,Higher feature value associated with higher churn probability
aug_vbc_3g,-0.04587225103474431,0.04587225103474431,Higher feature value associated with lower churn probability
vol_2g_mb_change_6_to_8,-0.045071423159401075,0.045071423159401075,Higher feature value associated with lower churn probability
total_og_mou_7,0.04336834678854326,0.04336834678854326,Higher feature value associated with higher churn probability
recharge_amount_recent_vs_baseline,-0.04322503766156259,0.04322503766156259,Higher feature value associated with lower churn probability
arpu_trend_score,0.04250502120836263,0.04250502120836263,Higher feature value associated with higher churn probability
offnet_mou_7,-0.04160037000804602,0.04160037000804602,Higher feature value associated with lower churn probability
roam_ic_mou_std_6_8,0.04134673469707956,0.04134673469707956,Higher feature value associated with higher churn probability
