feature,status,reason,selection_stage,correlation_group,missing_pct_dev,mutual_information,mi_rank,mean_cv_auc,cv_auc_std,stable_folds,stability_rate,permutation_importance_mean,permutation_importance_std,feature_family
sachet_3g_6_missing,Excluded,Constant feature,Constant screening,,,,,,,,,,,Data Engagement
sachet_3g_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.0,298.0,,,,,,,Data Engagement
sachet_3g_7_missing,Excluded,Constant feature,Constant screening,,,,,,,,,,,Data Engagement
sachet_3g_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.0005878630488422854,282.0,0.5168569034499215,0.0016058074605531268,0.0,0.0,,,Data Engagement
sachet_3g_8_missing,Excluded,Constant feature,Constant screening,,,,,,,,,,,Data Engagement
total_data_volume_6,Excluded,Redundant with preferred feature: vol_2g_mb_6,Correlation redundancy,3.0,0.0,,,,,,,,,Data Engagement
total_data_volume_7,Excluded,Redundant with preferred feature: vol_2g_mb_7,Correlation redundancy,4.0,0.0,,,,,,,,,Data Engagement
total_data_volume_8,Excluded,Redundant with preferred feature: vol_2g_mb_8,Correlation redundancy,5.0,0.0,,,,,,,,,Data Engagement
vol_2g_mb_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,3.0,0.0,0.0006123146408383295,280.0,0.523511017888516,0.004600131991146785,0.0,0.0,,,Data Engagement
vol_2g_mb_6_missing,Excluded,Constant feature,Constant screening,,,,,,,,,,,Data Engagement
vol_2g_mb_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,4.0,0.0,0.005320583550997293,218.0,0.5497136045115165,0.003871125302244165,3.0,0.6,,,Data Engagement
vol_2g_mb_7_missing,Excluded,Constant feature,Constant screening,,,,,,,,,,,Data Engagement
vol_2g_mb_8_missing,Excluded,Constant feature,Constant screening,,,,,,,,,,,Data Engagement
vol_2g_mb_avg_6_8,Excluded,Redundant with preferred feature: vol_2g_mb_std_6_8,Correlation redundancy,26.0,0.0,,,,,,,,,Data Engagement
vol_2g_mb_max_6_8,Excluded,Redundant with preferred feature: vol_2g_mb_std_6_8,Correlation redundancy,26.0,0.0,,,,,,,,,Data Engagement
vol_2g_mb_std_6_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,26.0,0.0,0.00172590362663394,256.0,0.5448373847059795,0.003326272205455449,1.0,0.2,,,Data Engagement
vol_3g_mb_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.0012549969098403224,263.0,0.5182508392679216,0.0051796017302402205,0.0,0.0,,,Data Engagement
vol_3g_mb_6_missing,Excluded,Constant feature,Constant screening,,,,,,,,,,,Data Engagement
vol_3g_mb_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.00025224560406411634,288.0,0.5370368137242055,0.005429232894865721,0.0,0.0,,,Data Engagement
vol_3g_mb_7_missing,Excluded,Constant feature,Constant screening,,,,,,,,,,,Data Engagement
vol_3g_mb_8_missing,Excluded,Constant feature,Constant screening,,,,,,,,,,,Data Engagement
vol_3g_mb_avg_6_8,Excluded,Redundant with preferred feature: vol_3g_mb_std_6_8,Correlation redundancy,27.0,0.0,,,,,,,,,Data Engagement
vol_3g_mb_change_6_to_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.006073313994559015,205.0,0.5474563307838907,0.0042479784860731465,1.0,0.2,,,Data Engagement
vol_3g_mb_max_6_8,Excluded,Redundant with preferred feature: vol_3g_mb_std_6_8,Correlation redundancy,27.0,0.0,,,,,,,,,Data Engagement
vol_3g_mb_min_6_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.004829861840056182,224.0,0.5395146027039112,0.0026382946901670067,0.0,0.0,,,Data Engagement
vol_3g_mb_pct_change_6_to_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,85.44259718923553,0.008863426667641061,175.0,0.5463849312416855,0.0023146607382151523,1.0,0.2,,,Data Engagement
vol_3g_mb_std_6_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,27.0,0.0,0.0008561968887024207,273.0,0.532013443239979,0.004955601201336497,0.0,0.0,,,Data Engagement
fb_user_6_missing,Excluded,Redundant with preferred feature: vol_2g_mb_6,Correlation redundancy,3.0,0.0,,,,,,,,,Missingness Signal
fb_user_7_missing,Excluded,Redundant with preferred feature: vol_2g_mb_7,Correlation redundancy,4.0,0.0,,,,,,,,,Missingness Signal
fb_user_8_missing,Excluded,Redundant with preferred feature: total_rech_data_8_missing,Correlation redundancy,10.0,0.0,,,,,,,,,Missingness Signal
night_pck_user_6_missing,Excluded,Redundant with preferred feature: vol_2g_mb_6,Correlation redundancy,3.0,0.0,,,,,,,,,Missingness Signal
night_pck_user_7_missing,Excluded,Redundant with preferred feature: vol_2g_mb_7,Correlation redundancy,4.0,0.0,,,,,,,,,Missingness Signal
night_pck_user_8_missing,Excluded,Redundant with preferred feature: total_rech_data_8_missing,Correlation redundancy,10.0,0.0,,,,,,,,,Missingness Signal
fb_user_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.97455311701995,0.009121802630388975,172.0,0.5018778061502355,0.0010172553710271323,0.0,0.0,,,Original / Other
fb_user_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.50847336559582,0.007867637656628457,189.0,0.5029391593621961,0.002106976753188034,0.0,0.0,,,Original / Other
fb_user_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,73.76203146484758,0.011802851034845574,158.0,0.506673764873862,0.0016901333717100056,0.0,0.0,,,Original / Other
last_day_rch_amt_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,0.0,0.003598118208696821,234.0,0.5416435722469457,0.00634092949346826,0.0,0.0,,,Original / Other
night_pck_user_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.97455311701995,0.0,300.0,,,,,,,Original / Other
night_pck_user_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.50847336559582,0.0015804665034007126,259.0,0.5014290738856342,0.0007715870612948965,0.0,0.0,,,Original / Other
night_pck_user_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,73.76203146484758,0.0,297.0,,,,,,,Original / Other
av_rech_amt_data_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.97455311701995,0.005421017152264618,216.0,0.5114514135051181,0.005112566175891058,0.0,0.0,,,Recharge Activity
av_rech_amt_data_6_missing,Excluded,Redundant with preferred feature: vol_2g_mb_6,Correlation redundancy,3.0,0.0,,,,,,,,,Recharge Activity
av_rech_amt_data_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.50847336559582,0.009038302221008987,173.0,0.5194601798850906,0.0026792728971320456,0.0,0.0,,,Recharge Activity
av_rech_amt_data_7_missing,Excluded,Redundant with preferred feature: vol_2g_mb_7,Correlation redundancy,4.0,0.0,,,,,,,,,Recharge Activity
av_rech_amt_data_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,73.76203146484758,0.013481085147500682,142.0,0.5173610612274231,0.0034088801827490862,0.0,0.0,,,Recharge Activity
av_rech_amt_data_8_missing,Excluded,Redundant with preferred feature: total_rech_data_8_missing,Correlation redundancy,10.0,0.0,,,,,,,,,Recharge Activity
av_rech_amt_data_avg_6_8,Excluded,Redundant with preferred feature: av_rech_amt_data_max_6_8,Correlation redundancy,32.0,62.70111966285113,,,,,,,,,Recharge Activity
av_rech_amt_data_change_6_to_8,Excluded,Redundant with preferred feature: av_rech_amt_data_pct_change_6_to_8,Correlation redundancy,33.0,82.62647547277629,,,,,,,,,Recharge Activity
av_rech_amt_data_max_6_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,32.0,62.70111966285113,0.007976341941659193,186.0,0.525768750001689,0.008353152179079774,0.0,0.0,,,Recharge Activity
av_rech_amt_data_min_6_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,62.70111966285113,0.0057878185247783875,208.0,0.5064955521974002,0.0024935311501850855,0.0,0.0,,,Recharge Activity
av_rech_amt_data_pct_change_6_to_8,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,33.0,82.62647547277629,0.004884209727193944,223.0,0.5110536978857263,0.003114684724013226,0.0,0.0,,,Recharge Activity
avg_recharge_amt_8,Excluded,Redundant with preferred feature: recharge_value_per_transaction_8,Correlation redundancy,15.0,3.5482776478151394,,,,,,,,,Recharge Activity
count_rech_2g_6,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.97455311701995,0.003646249143629987,231.0,0.5068120394942215,0.002542496392793787,0.0,0.0,,,Recharge Activity
count_rech_2g_6_missing,Excluded,Redundant with preferred feature: vol_2g_mb_6,Correlation redundancy,3.0,0.0,,,,,,,,,Recharge Activity
count_rech_2g_7,Excluded,Insufficient predictive evidence after stability/model review,Final predictive screening,,74.50847336559582,0.005554413321810614,211.0,0.5116996169984074,0.0039830856476159296,0.0,0.0,,,Recharge Activity
count_rech_2g_7_missing,Excluded,Redundant with preferred feature: vol_2g_mb_7,Correlation redundancy,4.0,0.0,,,,,,,,,Recharge Activity
