model,baseline_cv_pr_auc,best_candidate,best_cv_pr_auc,pr_auc_improvement,pr_auc_improvement_pct,std_pr_auc,top10_capture,top10_lift,generalization_gap,tuning_status,parameters
HistGradientBoosting,0.770450662615435,HGB_09_STRONG_REGULARIZATION,0.774833556923147,0.004382894307711993,0.568874104518706,0.01037018409186235,0.7122304918873203,7.122180028426227,0.08259760776424885,IMPROVED,"{""l2_regularization"": 5.0, ""learning_rate"": 0.08, ""max_iter"": 150, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 30}"
XGBoost,0.7720118460696487,XGB_02_SLOWER_MORE_TREES,0.7769125626994173,0.004900716629768653,0.6347981128422381,0.00905832926247459,0.7120549000707587,7.12042411026061,0.13700621824178927,IMPROVED,"{""colsample_bytree"": 0.9, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
